continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths
Asia,Vietnam,2020-01-05,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-06,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-07,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-08,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-09,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-10,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-11,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-12,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-13,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-14,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-15,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-16,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-17,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-18,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-19,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-20,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-21,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-22,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-23,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-24,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-25,98186856,0.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-26,98186856,2.0,2.0,0.0,0.0
Asia,Vietnam,2020-01-27,98186856,2.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-28,98186856,2.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-29,98186856,2.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-30,98186856,2.0,0.0,0.0,0.0
Asia,Vietnam,2020-01-31,98186856,2.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-01,98186856,2.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-02,98186856,6.0,4.0,0.0,0.0
Asia,Vietnam,2020-02-03,98186856,6.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-04,98186856,6.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-05,98186856,6.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-06,98186856,6.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-07,98186856,6.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-08,98186856,6.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-09,98186856,13.0,7.0,0.0,0.0
Asia,Vietnam,2020-02-10,98186856,13.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-11,98186856,13.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-12,98186856,13.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-13,98186856,13.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-14,98186856,13.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-15,98186856,13.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-16,98186856,16.0,3.0,0.0,0.0
Asia,Vietnam,2020-02-17,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-18,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-19,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-20,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-21,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-22,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-23,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-24,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-25,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-26,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-27,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-28,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-02-29,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-01,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-02,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-03,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-04,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-05,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-06,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-07,98186856,16.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-08,98186856,20.0,4.0,0.0,0.0
Asia,Vietnam,2020-03-09,98186856,20.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-10,98186856,20.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-11,98186856,20.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-12,98186856,20.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-13,98186856,20.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-14,98186856,20.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-15,98186856,53.0,33.0,0.0,0.0
Asia,Vietnam,2020-03-16,98186856,53.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-17,98186856,53.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-18,98186856,53.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-19,98186856,53.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-20,98186856,53.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-21,98186856,53.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-22,98186856,94.0,41.0,0.0,0.0
Asia,Vietnam,2020-03-23,98186856,94.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-24,98186856,94.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-25,98186856,94.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-26,98186856,94.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-27,98186856,94.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-28,98186856,94.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-29,98186856,174.0,80.0,0.0,0.0
Asia,Vietnam,2020-03-30,98186856,174.0,0.0,0.0,0.0
Asia,Vietnam,2020-03-31,98186856,174.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-01,98186856,174.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-02,98186856,174.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-03,98186856,174.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-04,98186856,174.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-05,98186856,240.0,66.0,0.0,0.0
Asia,Vietnam,2020-04-06,98186856,240.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-07,98186856,240.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-08,98186856,240.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-09,98186856,240.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-10,98186856,240.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-11,98186856,240.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-12,98186856,258.0,18.0,0.0,0.0
Asia,Vietnam,2020-04-13,98186856,258.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-14,98186856,258.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-15,98186856,258.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-16,98186856,258.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-17,98186856,258.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-18,98186856,258.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-19,98186856,268.0,10.0,0.0,0.0
Asia,Vietnam,2020-04-20,98186856,268.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-21,98186856,268.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-22,98186856,268.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-23,98186856,268.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-24,98186856,268.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-25,98186856,268.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-26,98186856,270.0,2.0,0.0,0.0
Asia,Vietnam,2020-04-27,98186856,270.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-28,98186856,270.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-29,98186856,270.0,0.0,0.0,0.0
Asia,Vietnam,2020-04-30,98186856,270.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-01,98186856,270.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-02,98186856,270.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-03,98186856,270.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-04,98186856,270.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-05,98186856,270.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-06,98186856,270.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-07,98186856,270.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-08,98186856,270.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-09,98186856,270.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-10,98186856,288.0,18.0,0.0,0.0
Asia,Vietnam,2020-05-11,98186856,288.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-12,98186856,288.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-13,98186856,288.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-14,98186856,288.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-15,98186856,288.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-16,98186856,288.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-17,98186856,318.0,30.0,0.0,0.0
Asia,Vietnam,2020-05-18,98186856,318.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-19,98186856,318.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-20,98186856,318.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-21,98186856,318.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-22,98186856,318.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-23,98186856,318.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-24,98186856,325.0,7.0,0.0,0.0
Asia,Vietnam,2020-05-25,98186856,325.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-26,98186856,325.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-27,98186856,325.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-28,98186856,325.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-29,98186856,325.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-30,98186856,325.0,0.0,0.0,0.0
Asia,Vietnam,2020-05-31,98186856,328.0,3.0,0.0,0.0
Asia,Vietnam,2020-06-01,98186856,328.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-02,98186856,328.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-03,98186856,328.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-04,98186856,328.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-05,98186856,328.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-06,98186856,328.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-07,98186856,329.0,1.0,0.0,0.0
Asia,Vietnam,2020-06-08,98186856,329.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-09,98186856,329.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-10,98186856,329.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-11,98186856,329.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-12,98186856,329.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-13,98186856,329.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-14,98186856,334.0,5.0,0.0,0.0
Asia,Vietnam,2020-06-15,98186856,334.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-16,98186856,334.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-17,98186856,334.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-18,98186856,334.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-19,98186856,334.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-20,98186856,334.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-21,98186856,349.0,15.0,0.0,0.0
Asia,Vietnam,2020-06-22,98186856,349.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-23,98186856,349.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-24,98186856,349.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-25,98186856,349.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-26,98186856,349.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-27,98186856,349.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-28,98186856,355.0,6.0,0.0,0.0
Asia,Vietnam,2020-06-29,98186856,355.0,0.0,0.0,0.0
Asia,Vietnam,2020-06-30,98186856,355.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-01,98186856,355.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-02,98186856,355.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-03,98186856,355.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-04,98186856,355.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-05,98186856,355.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-06,98186856,355.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-07,98186856,355.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-08,98186856,355.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-09,98186856,355.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-10,98186856,355.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-11,98186856,355.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-12,98186856,370.0,15.0,0.0,0.0
Asia,Vietnam,2020-07-13,98186856,370.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-14,98186856,370.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-15,98186856,370.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-16,98186856,370.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-17,98186856,370.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-18,98186856,370.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-19,98186856,382.0,12.0,0.0,0.0
Asia,Vietnam,2020-07-20,98186856,382.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-21,98186856,382.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-22,98186856,382.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-23,98186856,382.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-24,98186856,382.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-25,98186856,382.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-26,98186856,418.0,36.0,0.0,0.0
Asia,Vietnam,2020-07-27,98186856,418.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-28,98186856,418.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-29,98186856,418.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-30,98186856,418.0,0.0,0.0,0.0
Asia,Vietnam,2020-07-31,98186856,418.0,0.0,0.0,0.0
Asia,Vietnam,2020-08-01,98186856,418.0,0.0,0.0,0.0
Asia,Vietnam,2020-08-02,98186856,590.0,172.0,3.0,3.0
Asia,Vietnam,2020-08-03,98186856,590.0,0.0,3.0,0.0
Asia,Vietnam,2020-08-04,98186856,590.0,0.0,3.0,0.0
Asia,Vietnam,2020-08-05,98186856,590.0,0.0,3.0,0.0
Asia,Vietnam,2020-08-06,98186856,590.0,0.0,3.0,0.0
Asia,Vietnam,2020-08-07,98186856,590.0,0.0,3.0,0.0
Asia,Vietnam,2020-08-08,98186856,590.0,0.0,3.0,0.0
Asia,Vietnam,2020-08-09,98186856,812.0,222.0,10.0,7.0
Asia,Vietnam,2020-08-10,98186856,812.0,0.0,10.0,0.0
Asia,Vietnam,2020-08-11,98186856,812.0,0.0,10.0,0.0
Asia,Vietnam,2020-08-12,98186856,812.0,0.0,10.0,0.0
Asia,Vietnam,2020-08-13,98186856,812.0,0.0,10.0,0.0
Asia,Vietnam,2020-08-14,98186856,812.0,0.0,10.0,0.0
Asia,Vietnam,2020-08-15,98186856,812.0,0.0,10.0,0.0
Asia,Vietnam,2020-08-16,98186856,951.0,139.0,23.0,13.0
Asia,Vietnam,2020-08-17,98186856,951.0,0.0,23.0,0.0
Asia,Vietnam,2020-08-18,98186856,951.0,0.0,23.0,0.0
Asia,Vietnam,2020-08-19,98186856,951.0,0.0,23.0,0.0
Asia,Vietnam,2020-08-20,98186856,951.0,0.0,23.0,0.0
Asia,Vietnam,2020-08-21,98186856,951.0,0.0,23.0,0.0
Asia,Vietnam,2020-08-22,98186856,951.0,0.0,23.0,0.0
Asia,Vietnam,2020-08-23,98186856,1014.0,63.0,26.0,3.0
Asia,Vietnam,2020-08-24,98186856,1014.0,0.0,26.0,0.0
Asia,Vietnam,2020-08-25,98186856,1014.0,0.0,26.0,0.0
Asia,Vietnam,2020-08-26,98186856,1014.0,0.0,26.0,0.0
Asia,Vietnam,2020-08-27,98186856,1014.0,0.0,26.0,0.0
Asia,Vietnam,2020-08-28,98186856,1014.0,0.0,26.0,0.0
Asia,Vietnam,2020-08-29,98186856,1014.0,0.0,26.0,0.0
Asia,Vietnam,2020-08-30,98186856,1040.0,26.0,32.0,6.0
Asia,Vietnam,2020-08-31,98186856,1040.0,0.0,32.0,0.0
Asia,Vietnam,2020-09-01,98186856,1040.0,0.0,32.0,0.0
Asia,Vietnam,2020-09-02,98186856,1040.0,0.0,32.0,0.0
Asia,Vietnam,2020-09-03,98186856,1040.0,0.0,32.0,0.0
Asia,Vietnam,2020-09-04,98186856,1040.0,0.0,32.0,0.0
Asia,Vietnam,2020-09-05,98186856,1040.0,0.0,32.0,0.0
Asia,Vietnam,2020-09-06,98186856,1049.0,9.0,35.0,3.0
Asia,Vietnam,2020-09-07,98186856,1049.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-08,98186856,1049.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-09,98186856,1049.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-10,98186856,1049.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-11,98186856,1049.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-12,98186856,1049.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-13,98186856,1060.0,11.0,35.0,0.0
Asia,Vietnam,2020-09-14,98186856,1060.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-15,98186856,1060.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-16,98186856,1060.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-17,98186856,1060.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-18,98186856,1060.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-19,98186856,1060.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-20,98186856,1068.0,8.0,35.0,0.0
Asia,Vietnam,2020-09-21,98186856,1068.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-22,98186856,1068.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-23,98186856,1068.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-24,98186856,1068.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-25,98186856,1068.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-26,98186856,1068.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-27,98186856,1069.0,1.0,35.0,0.0
Asia,Vietnam,2020-09-28,98186856,1069.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-29,98186856,1069.0,0.0,35.0,0.0
Asia,Vietnam,2020-09-30,98186856,1069.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-01,98186856,1069.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-02,98186856,1069.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-03,98186856,1069.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-04,98186856,1096.0,27.0,35.0,0.0
Asia,Vietnam,2020-10-05,98186856,1096.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-06,98186856,1096.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-07,98186856,1096.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-08,98186856,1096.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-09,98186856,1096.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-10,98186856,1096.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-11,98186856,1107.0,11.0,35.0,0.0
Asia,Vietnam,2020-10-12,98186856,1107.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-13,98186856,1107.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-14,98186856,1107.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-15,98186856,1107.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-16,98186856,1107.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-17,98186856,1107.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-18,98186856,1126.0,19.0,35.0,0.0
Asia,Vietnam,2020-10-19,98186856,1126.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-20,98186856,1126.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-21,98186856,1126.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-22,98186856,1126.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-23,98186856,1126.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-24,98186856,1126.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-25,98186856,1160.0,34.0,35.0,0.0
Asia,Vietnam,2020-10-26,98186856,1160.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-27,98186856,1160.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-28,98186856,1160.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-29,98186856,1160.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-30,98186856,1160.0,0.0,35.0,0.0
Asia,Vietnam,2020-10-31,98186856,1160.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-01,98186856,1180.0,20.0,35.0,0.0
Asia,Vietnam,2020-11-02,98186856,1180.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-03,98186856,1180.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-04,98186856,1180.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-05,98186856,1180.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-06,98186856,1180.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-07,98186856,1180.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-08,98186856,1213.0,33.0,35.0,0.0
Asia,Vietnam,2020-11-09,98186856,1213.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-10,98186856,1213.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-11,98186856,1213.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-12,98186856,1213.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-13,98186856,1213.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-14,98186856,1213.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-15,98186856,1265.0,52.0,35.0,0.0
Asia,Vietnam,2020-11-16,98186856,1265.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-17,98186856,1265.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-18,98186856,1265.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-19,98186856,1265.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-20,98186856,1265.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-21,98186856,1265.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-22,98186856,1306.0,41.0,35.0,0.0
Asia,Vietnam,2020-11-23,98186856,1306.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-24,98186856,1306.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-25,98186856,1306.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-26,98186856,1306.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-27,98186856,1306.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-28,98186856,1306.0,0.0,35.0,0.0
Asia,Vietnam,2020-11-29,98186856,1341.0,35.0,35.0,0.0
Asia,Vietnam,2020-11-30,98186856,1341.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-01,98186856,1341.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-02,98186856,1341.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-03,98186856,1341.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-04,98186856,1341.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-05,98186856,1341.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-06,98186856,1365.0,24.0,35.0,0.0
Asia,Vietnam,2020-12-07,98186856,1365.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-08,98186856,1365.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-09,98186856,1365.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-10,98186856,1365.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-11,98186856,1365.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-12,98186856,1365.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-13,98186856,1395.0,30.0,35.0,0.0
Asia,Vietnam,2020-12-14,98186856,1395.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-15,98186856,1395.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-16,98186856,1395.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-17,98186856,1395.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-18,98186856,1395.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-19,98186856,1395.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-20,98186856,1411.0,16.0,35.0,0.0
Asia,Vietnam,2020-12-21,98186856,1411.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-22,98186856,1411.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-23,98186856,1411.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-24,98186856,1411.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-25,98186856,1411.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-26,98186856,1411.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-27,98186856,1440.0,29.0,35.0,0.0
Asia,Vietnam,2020-12-28,98186856,1440.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-29,98186856,1440.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-30,98186856,1440.0,0.0,35.0,0.0
Asia,Vietnam,2020-12-31,98186856,1440.0,0.0,35.0,0.0
Asia,Vietnam,2021-01-01,98186856,1440.0,0.0,35.0,0.0
Asia,Vietnam,2021-01-02,98186856,1440.0,0.0,35.0,0.0
Asia,Vietnam,2021-01-03,98186856,1494.0,54.0,35.0,0.0
Asia,Vietnam,2021-01-04,98186856,1494.0,0.0,35.0,0.0
Asia,Vietnam,2021-01-05,98186856,1494.0,0.0,35.0,0.0
Asia,Vietnam,2021-01-06,98186856,1494.0,0.0,35.0,0.0
Asia,Vietnam,2021-01-07,98186856,1494.0,0.0,35.0,0.0
Asia,Vietnam,2021-01-08,98186856,1494.0,0.0,35.0,0.0
Asia,Vietnam,2021-01-09,98186856,1494.0,0.0,35.0,0.0
Asia,Vietnam,2021-01-10,98186856,1514.0,20.0,35.0,0.0
Asia,Vietnam,2021-01-11,98186856,1514.0,0.0,35.0,0.0
